itemDescription,averageCost
OOA Monster Energy Juice Khaos 473mL,85.710000
Mountain Dew PET 600mL KVI,22.785700
Mountain Dew 2L,56.279507
Mountain Dew In Can 330mL,20.826233
Mug Rootbeer 240mL,17.480000
Mug Rootbeer 2L,40.455400
OOA Nature's Spring Distilled Water 500mL,8.839300
OOA Nature's Spring Distilled Water 350mL,7.142900
Nescafe Cafe Latte Arabica 240mL,25.890000
**Nescafe EsprssoRstCan 180mL,24.959316
OOANescafe MochaArabcaInCan 240mL,26.964000
Nestle Chuckie 1L,67.701963
Nestle Fresh Milk Tetra 1L,75.428506
Nestle Fresh Milk Tetra 250mL,31.017160
OOA BearBrand Gbiloba 200mL,21.612200
**Nestle Chuckie Chocolate 180mL,15.901842
Oishi Smart C+ Orange Crush 350mL,16.127000
Pepsi Black 600mL,22.785700
Pepsi Regular 2L,56.218293
Pepsi Regular in Can 330mL,20.828640
Pepsi Regular 600mL,22.785700
OOA Plus King Size Apple 250mL,5.089300
OOA Plus King Size Orange 250mL,5.089300
Real Leaf Frutcy Leomon Iced Tea 480mL,16.553600
Real Leaf Honey Apple 480mL,16.815400
Real Leaf Honey Lychee 480mL,16.816721
Red Bull Energy Drink Can 250mL,64.280036
Red Bull Supreme 150mL KVI,30.832931
Royal TruOrange 325mL,22.656241
Royal Tru Orange 500mL KVI,23.921200
Royal TruGrape 325mL,22.656300
Royal Tru-Orange 2L KVI,59.151800
Sarsi RegCan 325mL,22.656300
OOASchweppes SodaWater 330mL,21.673361
OOASchweppes TonicWater 330mL,22.332600
OOA Seasons Mango Juice 240mL,20.540000
OOA Selecta Fortified Milk 245mL,18.080400
OOA Selecta Moo Chocolate Drink 245mL,20.535700
OOA Selecta Fortified Low Fat 245ml,22.442700
Sprite 2L KVI,59.151800
Sprite 325mL,22.656300
Sprite 500mL KVI,23.921200
Sprite Zero 325mL,21.577400
OOASting EnergyDrnkPwrPacq 330mL,16.517900
Sting EnrgyDrnk Strwbry 330mL KVI,16.517900
OOASting EnergyDrnkPwerLime 330mL,14.419600
Summit Nat Water 1.5L KVI,21.050000
**Summit NatWater 1L KVI,16.290000
OOA Summit Natural Water 350mL,7.040000
Summit Nat DR Water 500mL KVI,9.490000
Summit NatDRWater 6L KVI,57.140000
OOA Sunkist Healthy Heart Orange Juice 320mL,20.242200
OOA Sunkist Iced Tea Apple 320mL,12.320000
OOA Sunkist Iced Tea Apple 500mL,15.840000
Tampico Citrus Drnk-OrngeTngrn Lmn 325mL,15.401800
OOA Tropicana Twister Fruit Burst 355mL,20.535700
OOATropicana TwsterMango 355mL,20.535700
Tropicana Twister Orange PET 1L,45.282800
OOA Tropicana TwsterFruitburstTropical 1L,45.282800
Tropicana Twister Orange w/ Pulp 355mL,21.250299
Vitamilk ChShake 300mL KVI,19.416300
Vitamilk Energy 300mL,19.714000
Vitamilk Original 300mL,19.714000
Vitwater Power Apple 350mL,16.070000
Vitwater Trim Strawberrry 350mL,15.840000
Wilkins Distilled Water 1L,20.829949
Wilkins Distilled  Water 1.5L,28.130000
Wilkins Dstled Water 500mL KVI,13.579995
OOA Wilkins Distilled Water 6L,70.153223
Zest-O Choc-O 250mL,18.742411
Zest-O Mango Juice In Can 250mL,19.508483
Zest-O Rootbeer 500mL,15.710000
OOAZestO Rootbeer 330mL,16.741100
OOAAqualife PurifdWater 500mL,5.750000
OOA Joozy Juice Strawberry 250mL,4.508900
OOA Joozy Juice Mango 250mL,4.776800
OOA Joozy Juice Grape 250mL,4.490757
OOA Joozy Juice Pineapple 250mL,4.508900
OOA Joozy Juice Apple 250mL,4.500188
OOA Aqualife Purified Water 1L,9.750000
OOA Aqualized Mineral Water 1L,10.562500
OOA Aqualized Mineral Water 500mL,5.705462
Oishi Smart C+ Pomelo 500mL,21.503000
Zest-O Big 250 Mango,5.669600
Pocari Sweat 350mL,22.769991
Pocari Sweat 500mL KVI,30.356574
Pocari Sweat 2L,106.546736
Sola Raspberry Iced Tea 473mL,37.196000
Sola Lemon Iced Tea 473mL,37.196000
Bayani Brew Lemongrass 400mL,39.187500
Sola Peach Iced Tea 473mL,37.195857
Bayani Brew Purple Leaf 400mL,39.187500
OOA Pokka Milk Coffee 240mL,26.132628
OOA Pokka Caffuccino 240mL,26.879133
OOA Pokka Oolong Tea 500mL,26.273829
Nestle Low Fat Milk 250mL,30.909872
OOA Sunkist Slim Orange 235mL,13.390000
OOA Sunkist Slim Mango 235mL,14.290000
OOA Sunkist Slim Apple 235mL,13.392900
OOA Dole Singles 100% P/A 240mL,20.310000
OOA Dole Singles Pineorange 240mL,19.640000
DM PJ Drink Heart Smart 240mL,22.060000
Nestle Non Fat Milk 250mL,27.634700
OOANescafe Smoovlatte 190mL,28.400000
Nescafe French Vanilla 200mL,20.467868
OOA Nescafe White Mocha 200mL,16.951851
OOA Nescafe Creamy White 28g,5.175000
Nescafe Cappuccino 22g,5.989300
OOAAqualized MinrlWater 6L,40.473200
Dutch Mill UHT Yoghurt Blueberry 180mL,15.643000
Dutch Mill UHT Yoghurt Superfruits 180mL,15.643000
OOA Dutch Mill Yoghurt Orange 180mL,14.719100
OOAAqualife Purified Water 350mL,5.803600
OOAAqualife PurifdWater 6L,40.625000
OOAAqualized Mineral Water 350mL,5.540000
OOA Corona Extra Beer 355mL,85.270000
OOA Sapporo Premium Beer Bottle 330mL,75.850000
Tanduay IceZero 330mL,19.710000
Smirnoff Vodka Mule 330mL,29.017900
OOA Sapporo Beer Can 330mL,66.920000
OOAAsahi BeerSprDry Can 330mL,46.500000
OOA Hite in Can 500mL,69.312500
OOAHite InBottle 330mL,56.830400
OOA Snow Beer Can 330mL,43.750000
OOA Snow Beer Bottle 330mL,43.750000
OOAEstrella Dammincan 330mL,68.750000
OOA Breezer Jamaican Passion 275mL,42.630000
OOA Chang Beer can 320mL,41.650000
Tanduay Rum Cola 330mL,22.320000
OOA Stella Artois Beer Bottle 330mL,61.607100
OOAGenuine ShochuIichikoSake 900mL,528.861601
OOAMugi ShochuIichikoSake 720mL,574.029000
OOA Stella Artois Beer in can 330mL,57.500000
OOA Hoegaarden Beer Bottle 330mL,73.928600
OOA Warsteiner Premium 330mL,73.928600
OOAJinro ChamsulFrshSoju 360mL,74.107100
OOA Max All Malt Beer 355mL,16.964300
Chivas Regal 12 YO 500mL,696.428600
OOAEvan WilliamsB1T1 750mL,714.285700
OOAAbsolut Vodka 750mL,508.928600
OOAAbsolut Kurant 1L,969.643000
OOAAmarula 750mL,444.642900
OOAJagermeister 700ml,532.142900
Carlos III 700mL,410.714299
OOAMompo 750mL,221.428600
OOA Viña Sta. Carolina Premio Red 750mL,138.392900
OOAEstrella DammBottle 330mL,72.321400
OOAHite In Can 355mL,52.589300
Duvel 8.5% 330mL,116.071400
OOALeifmans Fruitesse 3.8p 250mL,102.678600
OOAVedett ExtraBlnde4.7p 330mL,104.464300
OOAVedett ExtraWht5.2p 330mL,104.464300
OOASingha LagerBeerInBtl 330mL,75.000000
OOASingha LgerBeerInCan 330mL,71.428600
OOABudweiser Bottle 355mL,60.267900
Carlos 1 700mL,772.321400
OOAFundador UltraSmooth30p 1L,401.790000
Jack Daniels 1L,1044.643000
Carlo Rossi Calif White 750mL,218.750000
OOANovellino BiancoClssico 750mL,202.410700
OOA Novellino Bianco Vivace 750mL,245.540000
OOA San Miguel Cerveza Negra 330mL,34.240000
OOA Beringer White Zinfandel 750mL,317.857100
OOABeringer CabrntSauvignon 750mL,317.857100
Alfonso Platinum 1L,263.392900
OOAExcelente 1L,114.285700
Vino Fontana Red 750mL,160.714300
Vino Fontana Sweet Red 750mL,174.107100
Pegoes White Wine 750mL,138.390000
Pegoes Red Wine Semi Sweet 750mL,138.390000
Les Puces Medium Sweet Red 750mL,174.107100
OOAJack Daniels 375mL,392.857000
Jack Daniels 700mL,857.143000
OOA JD Whiskey & Cola 330mL,102.680000
Johnnie Walker DbleBlck 700mL KVI,1116.071400
San Miguel Super Dry Bottle 330mL,37.016000
OOAAlhambra SoleraLight 1L,223.220000
OOAWolf BlassEaglehwkCbernet Sauvig,284.160000
OOA Alhambra Solera 1L,263.389999
OOAAlhambra Light 700mL,165.180000
OOAHoroyoi RedGrape 350mL,41.071400
OOAHoroyoi WhiteGrape 350ml,41.071400
OOAHoroyoi WhtSour 350mL,41.071400
San Miguel Apple in Can 330mL,31.047078
OOA Asahi Beer Bottle 330mL,57.590000
OOAFosters StrongBeerInCan 330 mL,27.071400
San Miguel Pale Pilsen Bottle 1L,62.500000
San Miguel Lemon in Can 330mL,31.063000
SMB crates,75.000000
INDEmbassy Whisky 750mL,97.321000
OOA BUY 3 San Miguel Light Can 330ML GET1 FOR FREE,32.766646
OOA BUY 3 San Miguel Super Dry Can 330ML GET1 FOR FREE,-1.000000
OOA Absolut Vodka 700mL,-1.000000
The Bar Premium Dry 700mL,76.785700
The Bar Pink Gin700ml,76.785700
The Bar Lime Gin700ml,76.785700
Tanduay Ice Sig Apple 330ml,25.670000
Tiger Black 500ml,35.714200
Tiger Crystal Light 330ml,27.080000
Imperial BlueFullStrngth 700mL,223.214000
Imperial BlueLight 700mL,178.571000
John Jameson Whiskey 700ml,812.500000
Woomera Cabernet Merlot (red wine),325.893000
Woomera Sauvignon Blanc (white wine),325.893000
Woomera Rose SemiSwt,325.893000
Emperador Double Light 750mL,87.946400
Emperador Double Light 1L,115.178600
CarloRossi PinkMoscto 750mL,218.750000
Tanduay Ice Sig Cranberry 330ml,25.670000
Tanduay Ice Sig Lemonade 330ml,25.670000
INDHeineken Bottle4pck 330ml,163.690000
OOA Buy 5 San Mig Light Can 330ml Free 1 Chippy BBQ,171.875000
OOA Buy 5 San Mig Light Can 330ml Free 1 Chippy Cheese,171.875000
OOA Buy 5 San Mig Pilsen Can 330ml Free 1 Chippy BBQ,171.875000
OOA Buy 5 San Mig Pilsen Can 330ml Free 1 Chippy Cheese,171.875000
OOA PR  Smirnoff Vodka Mule 330mL,29.017900
OOA PR Imperial Blue FullStrngth 700ml fr Coke 2L,223.214000
OOA PR Imperial Blue Light 700ml fr Coke 2L,178.571000
OOAAbsolut Kurant 750mL,617.857000
Alfonso 1 Light  700mL,176.785700
Alfonso 1 Light 1L,221.428600
Alfonso 1 Solera Brandy 1L,330.357100
Alfonso 1 Solera Brandy 700mL,267.857100
OOAAntonov Vodka Original 700mL,126.790000
OOABacardi PremRum 375mL,228.880000
OOABacardi PremRum 750mL,279.780000
OOA Budweiser in Bottle 335mL,66.070000
Cali Ice Apple Flavor in Can 330mL,24.179000
OOACaptain MorganOrigSpicdRum 750mL,307.767900
CarloRossi SwtRed 750mL,218.750000
OOA Chamdor Sparkling Grape Peach 750mL,194.062500
OOA Chamdor White 750mL,194.062500
OOA Colt 45 1L,55.360000
OOA Colt 45 500mL,27.370000
OOAColt45 BeerInBottle 330mL,20.950000
OOAColt45 InCan 330mL,28.278618
OOA Companero Light Brandy 700mL,67.860000
OOAEl HombreTequila 700mL,144.640000
OOAEl HombreTequilaGld 700mL,241.070000
Emperador Light Brandy 1L,115.178600
Emperador Light Brandy 750mL,87.946400
OOAEmperadorLghtBrndy 500mL,51.790000
OOA ESTD Hardys 1853 VR Merlot 750mL,280.357100
OOAExcelente 700mL,59.821400
Excelente Finest Reserva 1L,-1.000000
OOAFranzia RedWine 750mL,223.210000
OOAFrontera CabernetSauvignon 750mL,212.714300
Fundador Light 1L,294.642900
Fundador SoleraBrandy 1L,493.750000
OOAFundador SoleraBrndy 500mL,256.900000
Fundador Solera Brandy 700mL,354.464300
OOAGilbeys Gin1857 375mL,95.625000
OOAGilbeys Gin1857Vodka  700mL,174.200000
OOA Ginebra San Miguel Frasco 700mL,71.880000
OOAGinebra SanMigPremGin 750mL,104.424100
OOA Ginebra San Miguel Round 350mL,35.940000
Gran Matador Brandy 1000mL,89.285700
Gran Matador Brandy 350mL,36.044600
Gran Matador Brandy 700mL,60.990000
Gran Matador Light 700mL,58.220000
OOA GSM Blue 700mL,74.107100
OOA GSM Blue Light 700mL,61.830400
OOA GSM Blue Mojito 700mL,74.107100
Heineken Beer in Bottle 330mL,40.920000
Heineken Beer In Can 330mL,43.460000
OOAJinro 750mL,151.786068
Jinro Chamisul Classic Soju 360mL,74.107100
OOA Johnnie Walker Black Label 200mL,230.010000
OOA Johnnie Walker Red Label 200mL,115.010000
Johnnie Walker Red Label 700mL,392.851828
Jose Cuervo Especial Silver 700mL,535.714000
Jose Cuervo Especial Gold 700mL,558.036000
OOAMaria ClaraSngria 750mL,148.210000
OOA Novellino Light Rosso Classico 750mL,184.359400
OOA Novellino Light Strawberry Passion 750mL,184.359400
OOA Novellino Rosso Vivace 750mL,223.633900
OOAPaul MassnChblis 1L,246.736600
OOAPaul MassonBrgndy 1L,246.736600
Red Horse 1L KVI,63.036000
Red Horse Beer 500mL KVI,31.027000
Red Horse Stallion 330mL,23.473000
Red Horse BeerinCan 330mL KVI,34.375000
San Miguel Light Bottle 330mL KVI,25.848000
San Miguel Light Can 330mL KVI,34.375000
San Miguel Pale Pilsen Bottle 320mL,22.768000
San Miguel PPilsen Can 330mL KVI,34.375000
San Miguel Lemon Beer Bottle 330mL,22.688000
IND SmirnOff Green Apple 750mL,355.781300
OOASmirnOff Orange 750mL,355.781300
OOASmirnOff Red 700mL,355.310000
OOAStolichnaya Vodka 750mL,441.960000
OOATanduay 5Yrs 375mL,35.160000
OOATanduay 5Yrs 750mL,69.870000
OOA Tanduay Coctails Margarita 700mL,65.400000
INDTanduay IceBlIllsion 330mL,20.077410
Tanduay Ice 330mL,20.455000
OOATanduay IceLghtPomlo 330mL,19.707750
Tanduay IceRedMirage 330mL,19.723419
OOATanduay IceYllowPrdise 330mL,19.727503
OOATanduay RhumLight 750mL,58.780000
OOATanduay WhtPremRhum 375mL,34.040000
OOATanduay WhtPremRhum 750mL,68.080000
OOA The Bar Margarita Coctails 700mL,70.540000
OOA Tsingtao Beer 640mL,82.900000
OOAVAT 69SctchWhisky 700mL,177.680000
OOA Vodka Cruiser Blueberry 275mL,65.400000
OOA Vodka Cruiser Passion Fruit 275mL,65.400000
OOA Vodka Cruiser Raspberry 275mL,65.400000
OOA Vodka Mudshake Cappuccino 270mL,71.160000
OOAJB ScotchWhskey 700mL,374.960000
OOA Island Mixing Lime 375mL,51.560000
OOAAbsolut Vodka 1L,694.642900
OOA The Bar Vodka Apple 700mL,76.790000
OOAGilbeys Gin1857 700mL,174.240000
Johnnie Walker BlckLabel 700mL KVI,723.210000
CarloRossi CalifRed 750mL,218.750000
San Miguel Premium Can 330mL,46.875000
OOA May 100% Sparkling White Wine 750mL,144.044600
OOA Chamdor Red Sparkling 750mL,194.062500
OOAPrimera Brndy 750mL,75.000000
OOAGSM Blue 350mL,37.500000
OOADon Enriqui Mixkila,154.325900
OOA GSM Frasquito 350mL,37.366100
OOA GSM Angelito 250mL,27.723200
OOACarlos II,337.299100
OOA Tequila Rose 700mL,489.227300
OOAChivas Regal 1L,1558.040000
San Miguel Super Dry Can 330mL,43.750000
OOA SMB Super Dry Bottle 330mL,775.330000
San Miguel Apple Beer Bottle 330mL,22.688000
Kirin Beer 330mL,47.619000
OOA Orchid Lime Cordial 350mL,62.839300
OOA El Hombre Margarita Mix 700mL,71.151800
OOAToska Vodka 700mL,111.610000
OOADona ElenaRdWine 750mL,142.517900
OOADona ElenaWhtWine 750mL,142.517900
OOA May 100% Sparkling Red Wine 750mL,144.044600
OOABrew KettleBeer 330mL,26.039503
OOAGin Kapitan 350mL,26.300000
IND Lotte Koala's March Reg. Creamy Milk,26.785700
Lotte Koala's Small Chocolate 19.5g,13.392900
Pepero WhiteCkie 32g,41.071400
OOA Lotte Toppo Chocolate 40g,28.571400
OOA Chocky Giant Chocolate Biscuit Stick 50g,32.140000
OOA BC NY Cookies w/ Chocolate Creme 175g,76.790000
OOA BC NY Cookies Chocolate 150g,76.790000
Cowhead Original Cracker Biscuit 180g,-1.000000
OOA Bento Seafood Snack BBQ 15g,27.230000
OOA Butter Sesame Cracker 70g,29.910000
OOA Win2 Chocolate Magic Crunch 80g,19.200000
OOA Win2 Vanilla Magic Crunch 80g,20.980000
Combos Single 48.2g,36.339301
Cream-O Vanilla 90g KVI,16.559995
Presto CrmVanilla 80g,11.293599
OOA Glico Pretz Roast 62g,56.616100
OOA Glico Pretz Salad 69g,56.616100
OOA Glico Pretz Tomato 60g,56.616100
OOA Glico Pocky Chocolate 72g,76.127200
OOA Glico Pocky Milk Chocolate 74.6g,76.127200
OOA Glico Pocky Strawberry Flavor 57.6g,76.127200
OOA Glico Almond Peak Chocolate 57.6g,80.580400
OOA House Tongari Corn Salt 75g,74.854900
OOA House Tongari Corn Yaki 75g,74.854900
OOA Bourbon Butter Cookies 107g,60.435300
OOA Bourbon Chocochips Cookies 114g,60.435300
OOA Phil Brand Dried Mango Giftbox 200g,195.310000
OOA Magic Time Cheese Curls 5.5oz,68.684660
OOA Magic Time Cheese Ball 4oz,78.350000
Goldilocks Classic 25g,8.004601
Goldilocks Ckies&Cream 25g,8.265069
Goldilocks Pinipig  25g,8.266242
Goldilocks Cashew 25g,8.265813
OOA Goldilocks Ube 25g,8.019879
OOA House Tongari Corn Salt 80g,74.852200
OOA House Tongari Corn Yaki 80g,74.852200
OOA Orion Choco Pie 2's,-1.000000
OOA Bourbon Alfort Mini Choc Premium 59g,79.241100
OOA Morinaga Poterongu 45g,52.678600
MuslI Oat Biscuit Hazelnut 60g,22.233602
MuslI Oat Biscuit Chocolate 60g,22.226260
MagicMelt CreamChseBrwnies 80g,22.357702
MagicMelt SpeclBiscocho 150g,41.785477
OOA Magic Melt Mamon Tostado 100g,38.212352
Cal Cheese Wafer 53.5g,8.277000
Cheetos Crunchy Extra Barbeque 66g,18.040000
IND Cheetos Crunchy Extra Barbeque 140g,32.480000
Cheetos Crunchy Cheese 66g,18.040000
IND Cheetos Crunchy Cheese 140g,32.480000
Cheetos Crunchy Jalapeño 66g,18.596997
IND Cheetos Crunchy Jalapeño 140g,32.480000
Cheetos Puffs Mellow Cheddar 55g,18.591162
Peppero ChocoCkie 32g,40.660000
Cheetos Crunchy Sour Cream and Onion 66g,18.040000
OOA Cheetos Crunchy Cheese Pizza 66g,18.040000
IND Goldilocks Classic Bites 15g,54.699278
OOA Goldilocks Pinipig  Bites 15g,52.746588
OOA Goldilocks Cookies n Cream Bites 15g,52.781586
Loacker Cremkakao 45g,28.438000
INDLoacker Cacao 75g,43.530000
INDLoacker MilkVnlla 75g,45.710000
Loacker QuadraNapolitaner 125g KVI,78.710000
INDLoacker QuadraKakao 125g,78.709927
INDLoacker QuadraVnille 125g,78.709942
Loacker QuadraDarkChoco 125g,78.710000
OOA CheetosCrunchy Chz 140g w Pepsi Reg300mL,32.473200
OOA CheetosCrunchy BBQ 140g w Mt Dew 300mL,32.473200
OOA Rebisco Cream Filled Craker Sandwich 32g,4.120000
Presto Creams Chocolate 30g,-1.000000
Boy Bawang Chicharon Garlic 100g,18.799976
OOA Oreo Dark and White Chocolate 29.4g,60.710000
Cheetos Crunchy 140g w Free Bowl,-1.000000
IND Deka MT Pack Choco 11g,14.553600
IND Deka MT Pack Choco Banana 10g,14.553600
California Crunch Barbeque 120g,47.000762
California Crunch Sour & Cream 120g,46.994362
Oreo Vanilla 66.5g,16.785700
Oreo Vanilla 28.5g,6.418600
Mini Oreo Original 20.4g,12.589300
IND Oreo Thins Vanilla Delights 95g,34.776800
IND Oreo Thins Tiramisu 95g,34.776800
Oishi Bread Pan White Cheddar Cheese 42g,7.671856
Oishi Potato Fries Plain Salted 50g,10.179006
Oishi Potato Crisp Bacon N' Cheese 50g,10.562839
Oishi Potato Crisp Beef N' Chili 50g,10.562668
Oishi Potato Crisp Cheese 50g,10.562972
Oishi Potato Crisp Creamy Garlic 50g,10.563099
Oishi Potato Crisp Tomato Ketchup 50g,10.563011
Oishi Caramel Popcorn 60g,10.560000
Oishi Chocolate Popcorn 60g,10.559998
Oishi MobstersCaramel&Cheese Popcorn 60g,10.560000
Oishi Natural PotatoChipsFrenchOnion 60g,21.516640
Oishi Ridges Cheese&Garlic 60g,21.516944
Oishi Pillows ChocoCrckers 120g,28.209996
Oishi SpongeCrnchChoco 120g,28.209989
OOA Oishi Choco Plunge 120g,26.875000
IND Oishi Marty's Cracklin'ChickenInasal,12.839300
Oishi Prawn Crackers Sweet&ExtraHot 90g,15.740979
Oishi Fish Crackers 90g,15.740848
Oishi FISHDA Fish Kropeck 80g,14.392981
IND Oishi BakedPorkyPopps ClassicVinegar 34g,19.580023
IND Oishi Baked Porky Popps Hot&Spicy 34g,19.579997
IND Oishi GourmetPotatoChipsWasabi&Nori 120g,47.512685
IND Oishi GourmetPotatoChips SeaSalt 120g,48.304139
Oishi GourmetPotatoChips SaltedEgg 60g,26.875000
Oishi GrabNuts RstedAlmondsSlted 30g KVI,24.571000
Oishi GrabNuts RstedCshewsSlted 30g KVI,24.570600
Oishi Grab Nuts Roasted Mixed Nuts 30g,15.357100
W.L Corn Bits Orig Super Garlic 70g,8.880000
W.L Corn Bits Special BBQ 70g,8.880000
W.L Muncher Original 70g,8.880000
Tattoos CornTbeSpcyChse 60g,6.700000
Nagaraya Original 80g,12.810000
Nagaraya Abodo 80g,12.810000
Nagaraya Barbeque 80g,12.810000
Nagaraya Garlic 80g,12.810000
Nagaraya Abodo 160g,25.630000
Nagaraya Hot & Spicy 80g,12.810000
Chips DelightTripleChoco 73g,19.020000
Chips Delight Triple Chocolate 175g,44.060000
Chips Delight Mini 130g,32.630000
Chips Delight Peanut Caramel 160g,32.640000
Chips Delight Regular 80g,17.020000
IND MuslI Oat Biscuit Apple 60g,22.310091
MuslI Oat Biscuit BlueberryCranberry 60g,22.228448
Korean Crispy Seaweed Barbeque 40g,78.210000
Korean Crispy Seaweed Seafood 40g,78.210000
Korean Crispy Seaweed Chili 40g,78.210000
Korean Crispy Seaweed Original 40g,78.210000
OOA Kimnori Seaweed with Almonds 25g,78.210000
Belvita Milk and Cereal 20g,6.920000
Goya Quadros Twins 20g,6.910000
KnickKnacks DipASnackChoco 20g,10.160000
KnickKnacks Cheeznacks 20g,4.470000
Goya Pretzel Twist Milk Chocolate 28g,4.968110
Goya Pretzel Twist Dark Chocolate 28g,5.688000
Goya Pretzel Twist Cream White Chocolate 28g,5.484000
OOA Boy Bawang Barbeque 100g,13.705400
OOA Boy Bawang Lechon Manok 100g,13.705400
OOA Golden Sweet Corn 100g,15.180000
OOABoy Bawang Chichacorn Cheese 100g,18.790000
OOA Boy Bawang Chichacorn BBQ 100g,18.790000
Nuts Incredilbe 100g,16.290000
Mix Nuts 100g,27.100000
Nuts Entertainment 100g,23.660000
OOA Big Daddy Corn Crisp BBQ 90g,18.790000
IND Big Daddy Corn Crisp SourCream&Onion,18.790000
IND Big Daddy Crisp Nacho Cheese 90g,18.790000
Nagaraya Hot & Spicy 160g,25.630000
**Honey ButterPottChps 170g,72.321400
Honey Butter Potato Chips 60g,23.303600
**Calbee PotChipsChdrNSrcrm 170g,72.321400
IND J&J Pic-A Ultimate Cheddar Snack Mix,22.140000
IND J&J Pic-A Bbq Overload  Snack Mix 90,22.140000
Pik-nik Original Shoestring Potato 50g,27.734402
J&J V Cut Onion Garlic 60g,22.139978
J&J V Cut Cheese 60g,22.140002
Fitbar Nut 25g,17.679821
IND Mr. Potato Crisp Barbeque 100g,33.930000
OOA Mr. Potato Crisp Sour Cream&Onion 100g,33.930000
OOA Mr. Potato Crisp Sweet Potato 100g,33.930000
IND Mr. Potato Crisp Honey Cheese 100g,33.930000
INDFibisco HIRO 80g,12.680000
INDFibisco ChcoChpsCkies 36g,8.390000
INDFibisco ChcoCrnchies 60g,15.360000
INDFibisco HIROPckts 33g,4.020000
INDFibisco ChcoMllows 36g,9.460000
INDFibisco Jolly 27g,4.020000
INDButter Ckies 170g,32.590000
Orell's Banana Thins Glazed 100g,70.540000
Orell's Banana Thins Cinnamon 100g,70.540000
Leslie Clover Chips BBQ 85g,21.759167
Leslie Clover Chips Chili & Cheese 85g,21.758998
Leslie Cheezy CornCrunch OrigCheese 150g,29.550168
Leslie Cheezy Corn Crunch Red Hot 150g,29.553970
Leslie Nacho Corn Chips Cheese Blast 100g,16.339419
OOA Leslie Banana Thins 100g,24.380000
Leslie I Heart Cheese 50g,10.267975
Lotte Pepero Choco Filled 40g,35.710000
IND Goya Dark Chocolate 38 (Buy 2,Get1FR,30.470000
Archipelago Superfood Trail Mix 42.5g,65.250000
Archipelago Fruit and Nut Bar 40g,67.985016
Archipelago Banana Chips 80g,20.607000
Archipelago Mango Bites 40g,32.963965
OOA Archipelago Sunshine Granola 50g,51.510000
OOA PURPLE YAM-BANANA-COCONUT 40G,-1.000000
MagicMelt Rosquillos 90g,21.609961
MagicMelt MamonTostado 50g,22.096389
Bawang na Bawang Cornick 100g,11.375000
Alibaba Snack Mixed 100g,11.375000
Alibaba US No.1 Greenpeas 200g,21.937500
Alibaba Sweet Corn Flavor 120g,16.250000
Alibaba BBQ Flavor 120g,16.250000
Alibaba Hot & Spicy Flavor 120g,16.250000
Alibaba Nacho Cheese Flavor 120g,16.250000
IND Goya Milk Chocolate 35g (Buy 2,Get1F,30.098200
OOA Goya Cream White Chocolate 35g (Buy 2,Get1FREE),30.098200
OOA Goya Almond in Milk Chocolate 35g (Buy 2,Get1FREE),30.098200
Treasures 36g(Buy 2 Less 10),29.250000
OOA J&J Piattos Spicy Seafood 85g,22.589300
LaPacita GrahmCrkr 10S,5.174110
LaPacita MamonTstado 100g,26.705000
LaPacita Pasencia 90G,15.018000
La Pacita, Graham Chocolate, 5S,3.777346
LaPacita GrahmPeantBtter 5s,4.338996
LaPacita GrahmCreamChse 5s,4.507296
LP, Oat Cookies Chocolate, 26G,8.357000
Lemon Square Inipit Custard 22g,4.152002
Whatta Tops Chocolatah 35g,5.602994
J&J Piattos Cheese 170g,44.286000
J&J Potato Chips Classic Plain Salted 60g,22.143000
J&J Choco Knots  50g,8.214000
W.L. Muncher D' Patata Chips Cheese 60g,12.125000
W. L. Muncher D' Patata Chips Bbq 60g,12.125000
W. L. Muncher D' Patata Chips Sour Cream & Onion 60g,12.125000
Dandy's Trail Mix 100g,36.607100
Dandy's Mixed Nuts 100g,40.178600
Dandy's Garlic Peanuts 100g,27.678600
Dandy's Spicy Peanuts 100g,27.678600
Dandy's Adobo Peanuts 100g,26.339300
IND Sante Bar Nuts&Almond 40g,22.321000
IND Sante Bar Cranberry & Raspberry 40g,22.321000
Oreo VanllaWferRoll 54g,27.232000
Oreo ChocoWferRoll 54g,27.232000
Doritos Roasted Corn 55g,34.375000
Lays Original 50g,37.946000
Lays Sour Cream and Onion 50g,37.946000
Kettle Korn Cheese 120g,27.736724
Kettle Korn Salted Caramel 120g,27.740983
Franzzi MatchaChocoCkie 70g,30.625000
Franzzi YogurtChocoCkie 70g,30.624769
HOP Assorted 52g,31.250000
HOP Classic 52g,31.250000
HOP CkiesNCream 52g,31.250000
HOP CrispRice 52g,31.250000
Pocky Chocolate 40g,30.045000
Pocky Strawberry 38g,30.045000
Pocky CookiesNCream 40g,30.045000
Pocky Matcha 35g,30.045000
Pringles Smoky BBQ 107g,55.509000
Pringles Pizza 107g,55.509000
Pringles Original 40g,19.866000
Pringles Sour Cream & Onion 40g,19.866000
Pringles Cheese 40g,19.866000
J&J V Cut Spicy BBQ 155g,28.400000
Pepero DbleChocoFilled 40g,35.710000
Lotte Pepero Double Choco Filled 11g,10.710000
Lotte Pepero Choco Filled 11g,10.710000
PR J&J Chippy BBQ Family 100g,0.000000
PR J&J Chippy Chili & Cheese 110g,0.000000
OOA PR  J&J Piattos Cheese 85g,22.142900
OOA PR  J&J Piattos Nacho Pizza 85g,22.142900
OOA PR  J&J Piattos Roadhouse BBQ 85g,22.142900
